date,day,county,state,fips,cases,deaths
2020-01-26,1,Los Angeles,California,6037.0,1,0.0
2020-01-27,2,Los Angeles,California,6037.0,1,0.0
2020-01-28,3,Los Angeles,California,6037.0,1,0.0
2020-01-29,4,Los Angeles,California,6037.0,1,0.0
2020-01-30,5,Los Angeles,California,6037.0,1,0.0
2020-01-31,6,Los Angeles,California,6037.0,1,0.0
2020-02-01,7,Los Angeles,California,6037.0,1,0.0
2020-02-02,8,Los Angeles,California,6037.0,1,0.0
2020-02-03,9,Los Angeles,California,6037.0,1,0.0
2020-02-04,10,Los Angeles,California,6037.0,1,0.0
2020-02-05,11,Los Angeles,California,6037.0,1,0.0
2020-02-06,12,Los Angeles,California,6037.0,1,0.0
2020-02-07,13,Los Angeles,California,6037.0,1,0.0
2020-02-08,14,Los Angeles,California,6037.0,1,0.0
2020-02-09,15,Los Angeles,California,6037.0,1,0.0
2020-02-10,16,Los Angeles,California,6037.0,1,0.0
2020-02-11,17,Los Angeles,California,6037.0,1,0.0
2020-02-12,18,Los Angeles,California,6037.0,1,0.0
2020-02-13,19,Los Angeles,California,6037.0,1,0.0
2020-02-14,20,Los Angeles,California,6037.0,1,0.0
2020-02-15,21,Los Angeles,California,6037.0,1,0.0
2020-02-16,22,Los Angeles,California,6037.0,1,0.0
2020-02-17,23,Los Angeles,California,6037.0,1,0.0
2020-02-18,24,Los Angeles,California,6037.0,1,0.0
2020-02-19,25,Los Angeles,California,6037.0,1,0.0
2020-02-20,26,Los Angeles,California,6037.0,1,0.0
2020-02-21,27,Los Angeles,California,6037.0,1,0.0
2020-02-22,28,Los Angeles,California,6037.0,1,0.0
2020-02-23,29,Los Angeles,California,6037.0,1,0.0
2020-02-24,30,Los Angeles,California,6037.0,1,0.0
2020-02-25,31,Los Angeles,California,6037.0,1,0.0
2020-02-26,32,Los Angeles,California,6037.0,1,0.0
2020-02-27,33,Los Angeles,California,6037.0,1,0.0
2020-02-28,34,Los Angeles,California,6037.0,1,0.0
2020-02-29,35,Los Angeles,California,6037.0,1,0.0
2020-03-01,36,Los Angeles,California,6037.0,1,0.0
2020-03-02,37,Los Angeles,California,6037.0,1,0.0
2020-03-03,38,Los Angeles,California,6037.0,1,0.0
2020-03-04,39,Los Angeles,California,6037.0,7,0.0
2020-03-05,40,Los Angeles,California,6037.0,11,0.0
2020-03-06,41,Los Angeles,California,6037.0,13,0.0
2020-03-07,42,Los Angeles,California,6037.0,14,0.0
2020-03-08,43,Los Angeles,California,6037.0,14,0.0
2020-03-09,44,Los Angeles,California,6037.0,19,0.0
2020-03-10,45,Los Angeles,California,6037.0,20,0.0
2020-03-11,46,Los Angeles,California,6037.0,28,1.0
2020-03-12,47,Los Angeles,California,6037.0,32,1.0
2020-03-13,48,Los Angeles,California,6037.0,40,1.0
2020-03-14,49,Los Angeles,California,6037.0,53,1.0
2020-03-15,50,Los Angeles,California,6037.0,69,1.0
2020-03-16,51,Los Angeles,California,6037.0,94,1.0
2020-03-17,52,Los Angeles,California,6037.0,144,1.0
2020-03-18,53,Los Angeles,California,6037.0,190,1.0
2020-03-19,54,Los Angeles,California,6037.0,231,2.0
2020-03-20,55,Los Angeles,California,6037.0,292,2.0
2020-03-21,56,Los Angeles,California,6037.0,351,4.0
2020-03-22,57,Los Angeles,California,6037.0,421,5.0
2020-03-23,58,Los Angeles,California,6037.0,536,7.0
2020-03-24,59,Los Angeles,California,6037.0,662,11.0
2020-03-25,60,Los Angeles,California,6037.0,799,13.0
2020-03-26,61,Los Angeles,California,6037.0,1216,21.0
2020-03-27,62,Los Angeles,California,6037.0,1465,27.0
2020-03-28,63,Los Angeles,California,6037.0,1804,33.0
2020-03-29,64,Los Angeles,California,6037.0,2136,37.0
2020-03-30,65,Los Angeles,California,6037.0,2474,44.0
2020-03-31,66,Los Angeles,California,6037.0,3011,54.0
2020-04-01,67,Los Angeles,California,6037.0,3518,65.0
2020-04-02,68,Los Angeles,California,6037.0,4045,78.0
2020-04-03,69,Los Angeles,California,6037.0,4566,89.0
2020-04-04,70,Los Angeles,California,6037.0,5277,117.0
2020-04-05,71,Los Angeles,California,6037.0,5940,132.0
2020-04-06,72,Los Angeles,California,6037.0,6360,147.0
2020-04-07,73,Los Angeles,California,6037.0,6910,169.0
2020-04-08,74,Los Angeles,California,6037.0,7530,198.0
2020-04-09,75,Los Angeles,California,6037.0,7955,223.0
2020-04-10,76,Los Angeles,California,6037.0,8430,241.0
2020-04-11,77,Los Angeles,California,6037.0,8873,265.0
2020-04-12,78,Los Angeles,California,6037.0,9192,296.0
2020-04-13,79,Los Angeles,California,6037.0,9420,320.0
2020-04-14,80,Los Angeles,California,6037.0,10047,360.0
2020-04-15,81,Los Angeles,California,6037.0,10496,402.0
2020-04-16,82,Los Angeles,California,6037.0,10854,455.0
2020-04-17,83,Los Angeles,California,6037.0,11391,495.0
2020-04-18,84,Los Angeles,California,6037.0,12021,576.0
2020-04-19,85,Los Angeles,California,6037.0,12341,600.0
2020-04-20,86,Los Angeles,California,6037.0,13816,617.0
2020-04-21,87,Los Angeles,California,6037.0,15140,663.0
2020-04-22,88,Los Angeles,California,6037.0,16435,729.0
2020-04-23,89,Los Angeles,California,6037.0,17508,797.0
2020-04-24,90,Los Angeles,California,6037.0,18545,850.0
2020-04-25,91,Los Angeles,California,6037.0,19107,895.0
2020-04-26,92,Los Angeles,California,6037.0,19528,913.0
2020-04-27,93,Los Angeles,California,6037.0,20417,942.0
2020-04-28,94,Los Angeles,California,6037.0,20976,1000.0
2020-04-29,95,Los Angeles,California,6037.0,22485,1056.0
2020-04-30,96,Los Angeles,California,6037.0,23182,1111.0
2020-05-01,97,Los Angeles,California,6037.0,24215,1172.0
2020-05-02,98,Los Angeles,California,6037.0,24894,1209.0
2020-05-03,99,Los Angeles,California,6037.0,25662,1229.0
2020-05-04,100,Los Angeles,California,6037.0,26217,1256.0
2020-05-05,101,Los Angeles,California,6037.0,27815,1313.0
2020-05-06,102,Los Angeles,California,6037.0,28644,1367.0
2020-05-07,103,Los Angeles,California,6037.0,29427,1418.0
2020-05-08,104,Los Angeles,California,6037.0,30296,1468.0
2020-05-09,105,Los Angeles,California,6037.0,31197,1512.0
2020-05-10,106,Los Angeles,California,6037.0,31677,1530.0
2020-05-11,107,Los Angeles,California,6037.0,32258,1569.0
2020-05-12,108,Los Angeles,California,6037.0,33180,1613.0
2020-05-13,109,Los Angeles,California,6037.0,34428,1659.0
2020-05-14,110,Los Angeles,California,6037.0,35329,1659.0
2020-05-15,111,Los Angeles,California,6037.0,36259,1755.0
2020-05-16,112,Los Angeles,California,6037.0,37303,1793.0
2020-05-17,113,Los Angeles,California,6037.0,37974,1821.0
2020-05-18,114,Los Angeles,California,6037.0,38451,1839.0
2020-05-19,115,Los Angeles,California,6037.0,39573,1913.0
2020-05-20,116,Los Angeles,California,6037.0,40857,1970.0
2020-05-21,117,Los Angeles,California,6037.0,42037,2016.0
2020-05-22,118,Los Angeles,California,6037.0,43052,2049.0
2020-05-23,119,Los Angeles,California,6037.0,44055,2090.0
2020-05-24,120,Los Angeles,California,6037.0,44988,2104.0
2020-05-25,121,Los Angeles,California,6037.0,46018,2116.0
2020-05-26,122,Los Angeles,California,6037.0,47822,2143.0
2020-05-27,123,Los Angeles,California,6037.0,48700,2195.0
2020-05-28,124,Los Angeles,California,6037.0,49774,2241.0
2020-05-29,125,Los Angeles,California,6037.0,51562,2290.0
2020-05-30,126,Los Angeles,California,6037.0,53651,2338.0
2020-05-31,127,Los Angeles,California,6037.0,54996,2362.0
2020-06-01,128,Los Angeles,California,6037.0,55968,2384.0
2020-06-02,129,Los Angeles,California,6037.0,57118,2443.0
2020-06-03,130,Los Angeles,California,6037.0,58234,2489.0
2020-06-04,131,Los Angeles,California,6037.0,59650,2531.0
2020-06-05,132,Los Angeles,California,6037.0,61045,2565.0
2020-06-06,133,Los Angeles,California,6037.0,62338,2620.0
2020-06-07,134,Los Angeles,California,6037.0,63844,2645.0
2020-06-08,135,Los Angeles,California,6037.0,64644,2655.0
2020-06-09,136,Los Angeles,California,6037.0,65822,2707.0
2020-06-10,137,Los Angeles,California,6037.0,67064,2768.0
