date,day,cases,deaths
2020-01-26,1,5,0
2020-01-27,2,5,0
2020-01-28,3,5,0
2020-01-29,4,5,0
2020-01-30,5,6,0
2020-01-31,6,7,0
2020-02-01,7,8,0
2020-02-02,8,11,0
2020-02-03,9,11,0
2020-02-04,10,11,0
2020-02-05,11,12,0
2020-02-06,12,12,0
2020-02-07,13,12,0
2020-02-08,14,12,0
2020-02-09,15,12,0
2020-02-10,16,13,0
2020-02-11,17,13,0
2020-02-12,18,14,0
2020-02-13,19,15,0
2020-02-14,20,15,0
2020-02-15,21,15,0
2020-02-16,22,15,0
2020-02-17,23,25,0
2020-02-18,24,25,0
2020-02-19,25,25,0
2020-02-20,26,27,0
2020-02-21,27,30,0
2020-02-22,28,30,0
2020-02-23,29,30,0
2020-02-24,30,43,0
2020-02-25,31,45,0
2020-02-26,32,60,0
2020-02-27,33,60,0
2020-02-28,34,65,0
2020-02-29,35,70,1
2020-03-01,36,88,3
2020-03-02,37,104,6
2020-03-03,38,125,10
2020-03-04,39,161,12
2020-03-05,40,228,12
2020-03-06,41,311,15
2020-03-07,42,428,19
2020-03-08,43,547,22
2020-03-09,44,748,26
2020-03-10,45,1018,31
2020-03-11,46,1263,37
2020-03-12,47,1668,43
2020-03-13,48,2224,50
2020-03-14,49,2898,60
2020-03-15,50,3600,68
2020-03-16,51,4507,91
2020-03-17,52,5906,117
2020-03-18,53,8350,162
2020-03-19,54,12393,212
2020-03-20,55,18012,277
2020-03-21,56,24528,360
2020-03-22,57,33073,458
2020-03-23,58,43505,579
2020-03-24,59,53938,785
2020-03-25,60,68572,1054
2020-03-26,61,85570,1353
2020-03-27,62,102900,1770
2020-03-28,63,123966,2300
2020-03-29,64,142486,2718
2020-03-30,65,163955,3368
2020-03-31,66,188461,4304
2020-04-01,67,215391,5325
2020-04-02,68,245108,6541
2020-04-03,69,277426,7932
2020-04-04,70,312525,9488
2020-04-05,71,338141,10856
2020-04-06,72,369057,12382
2020-04-07,73,399394,14616
2020-04-08,74,431214,16701
2020-04-09,75,465913,18821
2020-04-10,76,499386,21084
2020-04-11,77,531106,23168
2020-04-12,78,558249,24849
2020-04-13,79,584018,26613
2020-04-14,80,610709,29318
2020-04-15,81,640742,32070
2020-04-16,82,672355,34419
2020-04-17,83,703864,36708
2020-04-18,84,732262,38659
2020-04-19,85,757596,40179
2020-04-20,86,784991,42016
2020-04-21,87,810505,44688
2020-04-22,88,839336,47059
2020-04-23,89,873112,49228
2020-04-24,90,909853,51360
2020-04-25,91,944261,53327
2020-04-26,92,970996,54580
2020-04-27,93,994193,56022
2020-04-28,94,1018844,58416
2020-04-29,95,1045399,60930
2020-04-30,96,1075756,63140
2020-05-01,97,1109726,64902
2020-05-02,98,1139200,66485
2020-05-03,99,1165340,67816
2020-05-04,100,1187302,68905
2020-05-05,101,1211011,71139
2020-05-06,102,1235517,73847
2020-05-07,103,1263995,75805
2020-05-08,104,1291643,77380
2020-05-09,105,1316511,78834
2020-05-10,106,1336828,79766
2020-05-11,107,1354449,80748
2020-05-12,108,1376749,82400
2020-05-13,109,1397894,84168
2020-05-14,110,1424856,85906
2020-05-15,111,1451093,87499
2020-05-16,112,1474752,88724
2020-05-17,113,1493766,89568
2020-05-18,114,1515593,90414
2020-05-19,115,1536570,91934
2020-05-20,116,1559640,93411
2020-05-21,117,1585373,94722
2020-05-22,118,1609172,96010
2020-05-23,119,1631440,97060
2020-05-24,120,1651471,97680
2020-05-25,121,1670571,98190
2020-05-26,122,1689467,98937
2020-05-27,123,1708211,100422
2020-05-28,124,1730723,101622
2020-05-29,125,1755271,102812
2020-05-30,126,1778668,103775
2020-05-31,127,1799302,104379
2020-06-01,128,1821199,105113
2020-06-02,129,1841990,106195
2020-06-03,130,1861977,107184
2020-06-04,131,1883593,108192
2020-06-05,132,1912302,109304
2020-06-06,133,1934818,110032
