date,day,state,fips,cases,deaths
2020-01-26,1,California,6,2,0
2020-01-27,2,California,6,2,0
2020-01-28,3,California,6,2,0
2020-01-29,4,California,6,2,0
2020-01-30,5,California,6,2,0
2020-01-31,6,California,6,3,0
2020-02-01,7,California,6,3,0
2020-02-02,8,California,6,6,0
2020-02-03,9,California,6,6,0
2020-02-04,10,California,6,6,0
2020-02-05,11,California,6,6,0
2020-02-06,12,California,6,6,0
2020-02-07,13,California,6,6,0
2020-02-08,14,California,6,6,0
2020-02-09,15,California,6,6,0
2020-02-10,16,California,6,7,0
2020-02-11,17,California,6,7,0
2020-02-12,18,California,6,7,0
2020-02-13,19,California,6,7,0
2020-02-14,20,California,6,7,0
2020-02-15,21,California,6,7,0
2020-02-16,22,California,6,7,0
2020-02-17,23,California,6,7,0
2020-02-18,24,California,6,7,0
2020-02-19,25,California,6,7,0
2020-02-20,26,California,6,8,0
2020-02-21,27,California,6,9,0
2020-02-22,28,California,6,9,0
2020-02-23,29,California,6,9,0
2020-02-24,30,California,6,11,0
2020-02-25,31,California,6,11,0
2020-02-26,32,California,6,26,0
2020-02-27,33,California,6,26,0
2020-02-28,34,California,6,27,0
2020-02-29,35,California,6,28,0
2020-03-01,36,California,6,33,0
2020-03-02,37,California,6,38,0
2020-03-03,38,California,6,45,0
2020-03-04,39,California,6,55,1
2020-03-05,40,California,6,67,1
2020-03-06,41,California,6,81,1
2020-03-07,42,California,6,100,1
2020-03-08,43,California,6,112,1
2020-03-09,44,California,6,172,2
2020-03-10,45,California,6,179,3
2020-03-11,46,California,6,202,4
2020-03-12,47,California,6,252,4
2020-03-13,48,California,6,320,5
2020-03-14,49,California,6,381,5
2020-03-15,50,California,6,478,6
2020-03-16,51,California,6,588,11
2020-03-17,52,California,6,732,14
2020-03-18,53,California,6,893,17
2020-03-19,54,California,6,1067,19
2020-03-20,55,California,6,1283,24
2020-03-21,56,California,6,1544,28
2020-03-22,57,California,6,1851,35
2020-03-23,58,California,6,2240,39
2020-03-24,59,California,6,2644,52
2020-03-25,60,California,6,3183,68
2020-03-26,61,California,6,4060,83
2020-03-27,62,California,6,4915,104
2020-03-28,63,California,6,5566,122
2020-03-29,64,California,6,6321,132
2020-03-30,65,California,6,7421,147
2020-03-31,66,California,6,8583,184
2020-04-01,67,California,6,9857,212
2020-04-02,68,California,6,11190,247
2020-04-03,69,California,6,12569,282
2020-04-04,70,California,6,13796,323
2020-04-05,71,California,6,15202,351
2020-04-06,72,California,6,16361,386
2020-04-07,73,California,6,17540,447
2020-04-08,74,California,6,19043,506
2020-04-09,75,California,6,20191,548
2020-04-10,76,California,6,21366,594
2020-04-11,77,California,6,22421,632
2020-04-12,78,California,6,23323,676
2020-04-13,79,California,6,24334,725
2020-04-14,80,California,6,25758,778
2020-04-15,81,California,6,27107,885
2020-04-16,82,California,6,28142,971
2020-04-17,83,California,6,29398,1050
2020-04-18,84,California,6,30829,1146
2020-04-19,85,California,6,31544,1176
2020-04-20,86,California,6,33862,1223
2020-04-21,87,California,6,35844,1316
2020-04-22,88,California,6,37573,1425
2020-04-23,89,California,6,39534,1548
2020-04-24,90,California,6,41368,1619
2020-04-25,91,California,6,42590,1692
2020-04-26,92,California,6,43691,1716
2020-04-27,93,California,6,45208,1800
2020-04-28,94,California,6,46570,1884
2020-04-29,95,California,6,48904,1961
2020-04-30,96,California,6,50470,2057
2020-05-01,97,California,6,52318,2147
2020-05-02,98,California,6,53753,2213
2020-05-03,99,California,6,55072,2235
2020-05-04,100,California,6,56333,2297
2020-05-05,101,California,6,58848,2386
2020-05-06,102,California,6,60787,2478
2020-05-07,103,California,6,62481,2561
2020-05-08,104,California,6,64616,2650
2020-05-09,105,California,6,66824,2732
2020-05-10,106,California,6,68051,2769
2020-05-11,107,California,6,69514,2820
2020-05-12,108,California,6,71150,2902
2020-05-13,109,California,6,73218,3014
2020-05-14,110,California,6,74947,3039
2020-05-15,111,California,6,77015,3192
2020-05-16,112,California,6,78933,3254
2020-05-17,113,California,6,80366,3290
2020-05-18,114,California,6,81943,3322
2020-05-19,115,California,6,83981,3422
2020-05-20,116,California,6,86125,3514
