date,day,state,fips,cases,deaths
2020-01-26,1,Arizona,4,1,0
2020-01-26,1,California,6,2,0
2020-01-26,1,Illinois,17,1,0
2020-01-26,1,Washington,53,1,0
2020-01-27,2,Arizona,4,1,0
2020-01-27,2,California,6,2,0
2020-01-27,2,Illinois,17,1,0
2020-01-27,2,Washington,53,1,0
2020-01-28,3,Arizona,4,1,0
2020-01-28,3,California,6,2,0
2020-01-28,3,Illinois,17,1,0
2020-01-28,3,Washington,53,1,0
2020-01-29,4,Arizona,4,1,0
2020-01-29,4,California,6,2,0
2020-01-29,4,Illinois,17,1,0
2020-01-29,4,Washington,53,1,0
2020-01-30,5,Arizona,4,1,0
2020-01-30,5,California,6,2,0
2020-01-30,5,Illinois,17,2,0
2020-01-30,5,Washington,53,1,0
2020-01-31,6,Arizona,4,1,0
2020-01-31,6,California,6,3,0
2020-01-31,6,Illinois,17,2,0
2020-01-31,6,Washington,53,1,0
2020-02-01,7,Arizona,4,1,0
2020-02-01,7,California,6,3,0
2020-02-01,7,Illinois,17,2,0
2020-02-01,7,Massachusetts,25,1,0
2020-02-01,7,Washington,53,1,0
2020-02-02,8,Arizona,4,1,0
2020-02-02,8,California,6,6,0
2020-02-02,8,Illinois,17,2,0
2020-02-02,8,Massachusetts,25,1,0
2020-02-02,8,Washington,53,1,0
2020-02-03,9,Arizona,4,1,0
2020-02-03,9,California,6,6,0
2020-02-03,9,Illinois,17,2,0
2020-02-03,9,Massachusetts,25,1,0
2020-02-03,9,Washington,53,1,0
2020-02-04,10,Arizona,4,1,0
2020-02-04,10,California,6,6,0
2020-02-04,10,Illinois,17,2,0
2020-02-04,10,Massachusetts,25,1,0
2020-02-04,10,Washington,53,1,0
2020-02-05,11,Arizona,4,1,0
2020-02-05,11,California,6,6,0
2020-02-05,11,Illinois,17,2,0
2020-02-05,11,Massachusetts,25,1,0
2020-02-05,11,Washington,53,1,0
2020-02-05,11,Wisconsin,55,1,0
2020-02-06,12,Arizona,4,1,0
2020-02-06,12,California,6,6,0
2020-02-06,12,Illinois,17,2,0
2020-02-06,12,Massachusetts,25,1,0
2020-02-06,12,Washington,53,1,0
2020-02-06,12,Wisconsin,55,1,0
2020-02-07,13,Arizona,4,1,0
2020-02-07,13,California,6,6,0
2020-02-07,13,Illinois,17,2,0
2020-02-07,13,Massachusetts,25,1,0
2020-02-07,13,Washington,53,1,0
2020-02-07,13,Wisconsin,55,1,0
2020-02-08,14,Arizona,4,1,0
2020-02-08,14,California,6,6,0
2020-02-08,14,Illinois,17,2,0
2020-02-08,14,Massachusetts,25,1,0
2020-02-08,14,Washington,53,1,0
2020-02-08,14,Wisconsin,55,1,0
2020-02-09,15,Arizona,4,1,0
2020-02-09,15,California,6,6,0
2020-02-09,15,Illinois,17,2,0
2020-02-09,15,Massachusetts,25,1,0
2020-02-09,15,Washington,53,1,0
2020-02-09,15,Wisconsin,55,1,0
2020-02-10,16,Arizona,4,1,0
2020-02-10,16,California,6,7,0
2020-02-10,16,Illinois,17,2,0
2020-02-10,16,Massachusetts,25,1,0
2020-02-10,16,Washington,53,1,0
2020-02-10,16,Wisconsin,55,1,0
2020-02-11,17,Arizona,4,1,0
2020-02-11,17,California,6,7,0
2020-02-11,17,Illinois,17,2,0
2020-02-11,17,Massachusetts,25,1,0
2020-02-11,17,Washington,53,1,0
2020-02-11,17,Wisconsin,55,1,0
2020-02-12,18,Arizona,4,1,0
2020-02-12,18,California,6,7,0
2020-02-12,18,Illinois,17,2,0
2020-02-12,18,Massachusetts,25,1,0
2020-02-12,18,Texas,48,1,0
2020-02-12,18,Washington,53,1,0
2020-02-12,18,Wisconsin,55,1,0
2020-02-13,19,Arizona,4,1,0
2020-02-13,19,California,6,7,0
2020-02-13,19,Illinois,17,2,0
2020-02-13,19,Massachusetts,25,1,0
2020-02-13,19,Texas,48,2,0
2020-02-13,19,Washington,53,1,0
2020-02-13,19,Wisconsin,55,1,0
2020-02-14,20,Arizona,4,1,0
2020-02-14,20,California,6,7,0
2020-02-14,20,Illinois,17,2,0
2020-02-14,20,Massachusetts,25,1,0
2020-02-14,20,Texas,48,2,0
2020-02-14,20,Washington,53,1,0
2020-02-14,20,Wisconsin,55,1,0
2020-02-15,21,Arizona,4,1,0
2020-02-15,21,California,6,7,0
2020-02-15,21,Illinois,17,2,0
2020-02-15,21,Massachusetts,25,1,0
2020-02-15,21,Texas,48,2,0
2020-02-15,21,Washington,53,1,0
2020-02-15,21,Wisconsin,55,1,0
2020-02-16,22,Arizona,4,1,0
2020-02-16,22,California,6,7,0
2020-02-16,22,Illinois,17,2,0
2020-02-16,22,Massachusetts,25,1,0
2020-02-16,22,Texas,48,2,0
2020-02-16,22,Washington,53,1,0
2020-02-16,22,Wisconsin,55,1,0
2020-02-17,23,Arizona,4,1,0
2020-02-17,23,California,6,7,0
2020-02-17,23,Illinois,17,2,0
2020-02-17,23,Massachusetts,25,1,0
2020-02-17,23,Nebraska,31,10,0
2020-02-17,23,Texas,48,2,0
2020-02-17,23,Washington,53,1,0
2020-02-17,23,Wisconsin,55,1,0
2020-02-18,24,Arizona,4,1,0
2020-02-18,24,California,6,7,0
2020-02-18,24,Illinois,17,2,0
2020-02-18,24,Massachusetts,25,1,0
2020-02-18,24,Nebraska,31,10,0
2020-02-18,24,Texas,48,2,0
2020-02-18,24,Washington,53,1,0
2020-02-18,24,Wisconsin,55,1,0
2020-02-19,25,Arizona,4,1,0
2020-02-19,25,California,6,7,0
2020-02-19,25,Illinois,17,2,0
2020-02-19,25,Massachusetts,25,1,0
2020-02-19,25,Nebraska,31,10,0
2020-02-19,25,Texas,48,2,0
2020-02-19,25,Washington,53,1,0
2020-02-19,25,Wisconsin,55,1,0
2020-02-20,26,Arizona,4,1,0
2020-02-20,26,California,6,8,0
2020-02-20,26,Illinois,17,2,0
2020-02-20,26,Massachusetts,25,1,0
2020-02-20,26,Nebraska,31,11,0
2020-02-20,26,Texas,48,2,0
2020-02-20,26,Washington,53,1,0
2020-02-20,26,Wisconsin,55,1,0
2020-02-21,27,Arizona,4,1,0
2020-02-21,27,California,6,9,0
2020-02-21,27,Illinois,17,2,0
2020-02-21,27,Massachusetts,25,1,0
2020-02-21,27,Nebraska,31,11,0
2020-02-21,27,Texas,48,4,0
2020-02-21,27,Washington,53,1,0
2020-02-21,27,Wisconsin,55,1,0
2020-02-22,28,Arizona,4,1,0
2020-02-22,28,California,6,9,0
2020-02-22,28,Illinois,17,2,0
2020-02-22,28,Massachusetts,25,1,0
2020-02-22,28,Nebraska,31,11,0
2020-02-22,28,Texas,48,4,0
2020-02-22,28,Washington,53,1,0
2020-02-22,28,Wisconsin,55,1,0
2020-02-23,29,Arizona,4,1,0
2020-02-23,29,California,6,9,0
2020-02-23,29,Illinois,17,2,0
2020-02-23,29,Massachusetts,25,1,0
2020-02-23,29,Nebraska,31,11,0
2020-02-23,29,Texas,48,4,0
2020-02-23,29,Washington,53,1,0
2020-02-23,29,Wisconsin,55,1,0
2020-02-24,30,Arizona,4,1,0
2020-02-24,30,California,6,11,0
2020-02-24,30,Illinois,17,2,0
2020-02-24,30,Massachusetts,25,1,0
2020-02-24,30,Nebraska,31,12,0
2020-02-24,30,Texas,48,10,0
2020-02-24,30,Washington,53,5,0
2020-02-24,30,Wisconsin,55,1,0
2020-02-25,31,Arizona,4,1,0
2020-02-25,31,California,6,11,0
2020-02-25,31,Illinois,17,2,0
2020-02-25,31,Massachusetts,25,1,0
2020-02-25,31,Nebraska,31,13,0
2020-02-25,31,Texas,48,10,0
2020-02-25,31,Utah,49,1,0
2020-02-25,31,Washington,53,5,0
2020-02-25,31,Wisconsin,55,1,0
2020-02-26,32,Arizona,4,1,0
2020-02-26,32,California,6,26,0
2020-02-26,32,Illinois,17,2,0
2020-02-26,32,Massachusetts,25,1,0
2020-02-26,32,Nebraska,31,13,0
2020-02-26,32,Texas,48,10,0
2020-02-26,32,Utah,49,1,0
2020-02-26,32,Washington,53,5,0
2020-02-26,32,Wisconsin,55,1,0
2020-02-27,33,Arizona,4,1,0
2020-02-27,33,California,6,26,0
2020-02-27,33,Illinois,17,2,0
2020-02-27,33,Massachusetts,25,1,0
2020-02-27,33,Nebraska,31,13,0
2020-02-27,33,Texas,48,10,0
2020-02-27,33,Utah,49,1,0
2020-02-27,33,Washington,53,5,0
2020-02-27,33,Wisconsin,55,1,0
2020-02-28,34,Arizona,4,1,0
2020-02-28,34,California,6,27,0
