date,day,cases,deaths
2020-01-26,0,5,0
2020-01-27,1,5,0
2020-01-28,2,5,0
2020-01-29,3,5,0
2020-01-30,4,6,0
2020-01-31,5,7,0
2020-02-01,6,8,0
2020-02-02,7,11,0
2020-02-03,8,11,0
2020-02-04,9,11,0
2020-02-05,10,12,0
2020-02-06,11,12,0
2020-02-07,12,12,0
2020-02-08,13,12,0
2020-02-09,14,12,0
2020-02-10,15,13,0
2020-02-11,16,13,0
2020-02-12,17,14,0
2020-02-13,18,15,0
2020-02-14,19,15,0
2020-02-15,20,15,0
2020-02-16,21,15,0
2020-02-17,22,25,0
2020-02-18,23,25,0
2020-02-19,24,25,0
2020-02-20,25,27,0
2020-02-21,26,30,0
2020-02-22,27,30,0
2020-02-23,28,30,0
2020-02-24,29,43,0
2020-02-25,30,45,0
2020-02-26,31,60,0
2020-02-27,32,60,0
2020-02-28,33,65,0
2020-02-29,34,70,1
2020-03-01,35,88,3
2020-03-02,36,104,6
2020-03-03,37,125,10
2020-03-04,38,161,12
2020-03-05,39,228,12
2020-03-06,40,311,15
2020-03-07,41,428,19
2020-03-08,42,547,22
2020-03-09,43,748,26
2020-03-10,44,1018,31
2020-03-11,45,1263,37
2020-03-12,46,1668,43
2020-03-13,47,2224,50
2020-03-14,48,2898,60
2020-03-15,49,3600,68
2020-03-16,50,4507,91
2020-03-17,51,5906,117
2020-03-18,52,8350,162
2020-03-19,53,12393,212
2020-03-20,54,18012,277
2020-03-21,55,24528,360
2020-03-22,56,33073,458
2020-03-23,57,43505,579
2020-03-24,58,53938,785
2020-03-25,59,68572,1054
2020-03-26,60,85570,1353
2020-03-27,61,102900,1770
2020-03-28,62,123966,2300
2020-03-29,63,142486,2718
2020-03-30,64,163955,3368
2020-03-31,65,188461,4304
2020-04-01,66,215391,5325
2020-04-02,67,245108,6541
2020-04-03,68,277426,7932
2020-04-04,69,312525,9488
2020-04-05,70,338141,10856
2020-04-06,71,369057,12382
2020-04-07,72,399394,14616
2020-04-08,73,431214,16701
2020-04-09,74,465913,18821
2020-04-10,75,499386,21084
2020-04-11,76,531106,23168
2020-04-12,77,558249,24849
2020-04-13,78,584018,26613
2020-04-14,79,610709,29318
2020-04-15,80,640742,32070
2020-04-16,81,672355,34419
2020-04-17,82,703864,36708
2020-04-18,83,732262,38659
2020-04-19,84,757596,40179
2020-04-20,85,784991,42016
2020-04-21,86,810505,44688
2020-04-22,87,839336,47059
2020-04-23,88,873112,49228
2020-04-24,89,909853,51360
2020-04-25,90,944261,53327
2020-04-26,91,970996,54580
2020-04-27,92,994193,56022
2020-04-28,93,1018844,58416
2020-04-29,94,1045399,60930
2020-04-30,95,1075756,63140
2020-05-01,96,1109726,64902
2020-05-02,97,1139200,66485
2020-05-03,98,1165340,67816
2020-05-04,99,1187302,68905
2020-05-05,100,1211011,71139
2020-05-06,101,1235517,73847
2020-05-07,102,1263995,75805
2020-05-08,103,1291643,77380
2020-05-09,104,1316511,78834
2020-05-10,105,1336828,79766
2020-05-11,106,1354449,80748
2020-05-12,107,1376749,82400
2020-05-13,108,1397894,84168
2020-05-14,109,1424856,85906
2020-05-15,110,1451093,87499
2020-05-16,111,1474752,88724
2020-05-17,112,1493766,89568
2020-05-18,113,1515593,90414
2020-05-19,114,1536570,91934
2020-05-20,115,1559640,93411
2020-05-21,116,1585373,94722
2020-05-22,117,1609172,96010
2020-05-23,118,1631440,97060
2020-05-24,119,1651471,97680
2020-05-25,120,1670571,98190
2020-05-26,121,1689467,98937
2020-05-27,122,1708211,100422
2020-05-28,123,1730723,101622
2020-05-29,124,1755271,102812
2020-05-30,125,1778668,103775
2020-05-31,126,1799302,104379
2020-06-01,127,1821199,105113
2020-06-02,128,1841990,106195
2020-06-03,129,1861977,107184
2020-06-04,130,1883593,108192
2020-06-05,131,1912302,109304
2020-06-06,132,1934818,110032
2020-06-07,133,1953434,110422
2020-06-08,134,1971641,111144
2020-06-09,135,1990446,112174
2020-06-10,136,2013298,113103
2020-06-11,137,2036500,113980
2020-06-12,138,2061993,114759
2020-06-13,139,2087327,115451
2020-06-14,140,2106457,115768
2020-06-15,141,2126574,116216
2020-06-16,142,2151459,116985
2020-06-17,143,2177114,117746
2020-06-18,144,2205173,118473
2020-06-19,145,2236009,119171
2020-06-20,146,2268034,119717
2020-06-21,147,2294413,119974
2020-06-22,148,2324879,120334
2020-06-23,149,2359939,121167
2020-06-24,150,2396928,121934
2020-06-25,151,2438101,124400
2020-06-26,152,2483629,125033
2020-06-27,153,2525928,125544
2020-06-28,154,2565436,125815
2020-06-29,155,2604932,126162
2020-06-30,156,2653321,127462
2020-07-01,157,2703296,128104
2020-07-02,158,2758855,128827
2020-07-03,159,2816009,129418
2020-07-04,160,2866015,129679
2020-07-05,161,2910782,129941
2020-07-06,162,2958098,130332
2020-07-07,163,3012182,131290
2020-07-08,164,3071637,132238
2020-07-09,165,3131526,133079
2020-07-10,166,3199753,133907
2020-07-11,167,3260474,134582
2020-07-12,168,3318279,134977
2020-07-13,169,3379846,135402
2020-07-14,170,3445448,136356
2020-07-15,171,3513790,137327
2020-07-16,172,3589477,138285
2020-07-17,173,3660400,139186
2020-07-18,174,3722851,139961
2020-07-19,175,3785126,140373
2020-07-20,176,3845014,140904
